epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.86695,1.67835,3.44616,1.5342,0.00333,1,0.83,0.38261,0.73065,3.31507,1.0584,0.00026,0.00026,0.00026
2,8.72837,1.49316,2.46492,1.45805,0.00333,1,0.995,0.2197,1.22995,3.46686,1.38414,0.00052218,0.00052218,0.00052218
3,10.7679,1.37295,2.01949,1.38986,0.00333,1,0.23385,0.1505,1.63192,3.09542,1.67682,0.00076588,0.00076588,0.00076588
4,13.1147,1.36807,2.66879,1.46502,0.00333,1,0.995,0.44836,1.9985,3.17743,2.11606,0.0009911,0.0009911,0.0009911
5,16.551,1.52378,2.32624,1.65992,0.00958,1,0.995,0.27078,1.80444,3.221,1.97502,0.00119784,0.00119784,0.00119784
6,18.8361,1.30256,2.12637,1.46992,0.00333,1,0.995,0.43194,1.5179,3.10812,1.79693,0.0013861,0.0013861,0.0013861
7,20.7793,1.32354,1.99209,1.44412,0.73269,1,0.995,0.63054,1.48523,1.95029,1.59108,0.00155588,0.00155588,0.00155588
8,22.7844,1.37072,2.03528,1.4009,0.73586,0.94344,0.74625,0.22904,2.12819,2.52353,2.17651,0.001538,0.001538,0.001538
9,24.7441,1.27482,1.94555,1.41557,0.97479,1,0.995,0.45363,2.06855,1.78313,2.12494,0.001472,0.001472,0.001472
10,26.6858,1.34604,1.84385,1.3769,0.49591,0.98638,0.4975,0.2352,1.64874,2.48646,1.58169,0.001406,0.001406,0.001406
11,29.5719,1.3076,2.04971,1.29847,0.9833,1,0.995,0.35142,1.71741,2.16727,1.55593,0.00134,0.00134,0.00134
12,31.5425,1.24868,1.85888,1.27613,0.95239,1,0.995,0.29393,1.65474,1.84667,1.57621,0.001274,0.001274,0.001274
13,33.4712,1.30278,2.16018,1.35717,0.57714,1,0.863,0.39684,1.81795,1.7229,1.77645,0.001208,0.001208,0.001208
14,35.4173,1.30168,1.79288,1.33139,0.57714,1,0.863,0.39684,1.81795,1.7229,1.77645,0.001142,0.001142,0.001142
15,37.3483,1.27323,1.7796,1.34406,0.95136,1,0.995,0.53104,2.01074,1.47891,2.02235,0.001076,0.001076,0.001076
16,39.2675,1.17378,1.7323,1.32806,0.97701,1,0.995,0.53104,1.87395,1.21482,1.86176,0.00101,0.00101,0.00101
17,42.1009,1.17216,1.50271,1.24631,0.97162,1,0.995,0.46454,2.00332,1.46892,2.05548,0.000944,0.000944,0.000944
18,44.132,1.21227,1.64204,1.29531,0.8109,1,0.995,0.53104,1.96641,1.96221,1.96186,0.000878,0.000878,0.000878
19,46.0742,1.28894,1.76804,1.37051,0.96753,1,0.995,0.56457,1.68567,1.44913,1.70168,0.000812,0.000812,0.000812
20,48.1057,1.14964,1.50261,1.23726,0.97747,1,0.995,0.58657,1.51627,1.16297,1.54419,0.000746,0.000746,0.000746
21,50.72,0.945,1.79962,1.1695,0.97906,1,0.995,0.56457,1.56527,1.28506,1.59999,0.00068,0.00068,0.00068
22,53.4538,0.95125,1.73769,1.17504,0.97906,1,0.995,0.56457,1.56527,1.28506,1.59999,0.000614,0.000614,0.000614
23,55.7341,0.92629,1.75307,1.16004,0.98027,1,0.995,0.57572,1.52992,1.25987,1.5736,0.000548,0.000548,0.000548
24,57.674,0.91419,1.77064,1.12156,0.97807,1,0.995,0.65254,1.22396,1.14533,1.31284,0.000482,0.000482,0.000482
25,59.6195,0.90202,1.72184,1.1478,0.96827,1,0.995,0.71354,1.01979,1.03417,1.19007,0.000416,0.000416,0.000416
26,61.5324,0.91117,1.68382,1.08408,0.97786,1,0.995,0.76304,0.98016,1.07707,1.1687,0.00035,0.00035,0.00035
27,63.631,0.88338,1.67573,1.10559,0.97806,1,0.995,0.66407,1.0854,1.0878,1.24498,0.000284,0.000284,0.000284
28,66.0865,0.8428,1.59444,1.05473,0.98094,1,0.995,0.66407,1.23985,1.02128,1.36404,0.000218,0.000218,0.000218
29,68.36,0.89374,1.66015,1.14187,0.98257,1,0.995,0.66407,1.29604,0.96629,1.40486,0.000152,0.000152,0.000152
30,70.2612,0.89676,1.54901,1.08178,0.98257,1,0.995,0.66407,1.29604,0.96629,1.40486,8.6e-05,8.6e-05,8.6e-05
